company,policy_group,min_weight_on,max_weight_on,entry_threshold,exit_threshold,signal_window,allow_tax_loss_harvesting,explanation
PETR,conservative_preservation,0.49,0.51,3.0,1.0,252,True,Strong ON/PN relation but weak mean-reversion evidence. The strategy preserves company-level exposure and remains close to the passive 50/50 allocation.
BBDC,moderate_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
ITUB,conservative_preservation,0.49,0.51,3.0,1.0,252,True,Strong ON/PN relation but weak mean-reversion evidence. The strategy preserves company-level exposure and remains close to the passive 50/50 allocation.
CMIG,conservative_preservation,0.49,0.51,3.0,1.0,252,True,Strong ON/PN relation but weak mean-reversion evidence. The strategy preserves company-level exposure and remains close to the passive 50/50 allocation.
USIM,defensive_rotation,0.45,0.55,2.5,0.2,252,True,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.
GGBR,moderate_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
BRAP,high_quality_stable_pair,0.49,0.51,4.0,0.1,252,True,High-quality stable pair. The strategy remains controlled and reacts only to stronger deviations.
GOAU,moderate_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
TASA,active_reversion,0.0,1.0,1.0,0.5,252,True,Strong reversion evidence and high spread opportunity. The strategy is allowed to rotate actively between ON and PN.
OIBR,active_reversion,0.0,1.0,1.0,0.5,252,True,Strong reversion evidence and high spread opportunity. The strategy is allowed to rotate actively between ON and PN.
POMO,moderate_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
BRKM,moderate_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
